,Definition,Author,Year,Clean Definitions
85,"Turning the linear industrial economy into a loop or circular economy is, by definition, reducing the economic importance of resource extraction and waste management, and also reducing the environmental impairment caused by these industrial sectors. This change of focus from a linear throughput to a stock management opens opportunities in three loops of different characteristics, which are described in this section and shown graphically in figure 1: (i) a reuse and remarketing loop for goods, (ii) a loop of product-life extension activities of goods, and (iii) a recycling loop for molecules (secondary resources).",Stahel,2013,"turning the linear industrial economy into a loop or circular economy is, by definition, reducing the economic importance of resource extraction and waste management, and also reducing the environmental impairment caused by these industrial sectors. this change of focus from a linear throughput to a stock management opens opportunities in three loops of different characteristics, which are described in this section and shown graphically in figure 1:  a reuse and remarketing loop for goods,  a loop of product life extension activities of goods, and  a recycling loop for molecules ."
77,"Laws of process integration also apply for the largest scale of possible circular economy, our idealized technically shaped environment with the sectors of industry, transportation and living (Reh, 2006). These laws are mass and energy conservation “more in-more out”, entropy based pinch methods, optimization and resource conservation network (RCN) (Foo, 2012). The more gaseous, liquid and solid resources of any kind are being used, the more off-gas, waste water and solid residues following varying times of use have to be treated to protect the natural environment. The 3R principle: Reduce, Reuse and Recycling, may reduce the stress on different global resources considerably.",Reh,2013,"laws of process integration also apply for the largest scale of possible circular economy, our idealized technically shaped environment with the sectors of industry, transportation and living . these laws are mass and energy conservation more in more out, entropy based pinch methods, optimization and resource conservation network  . the more gaseous, liquid and solid resources of any kind are being used, the more off gas, waste water and solid residues following varying times of use have to be treated to protect the natural environment. the 3r principle: reduce, reuse and recycling, may reduce the stress on different global resources considerably."
97,"As to China, Industrial symbiosis is implemented under the philosophy of “circular economy” (CE) (Geng et al., 2009; Li et al., 2010). CE focuses on cleaner production (CP) in enterprise level, industrial substance reuse and recycling in regional level or industrial park level, and creating a recycling oriented society in national level (Li et al., 2010). Iron/steel industry is a key field of circular economy practice, after the cleaner technologies upgrading from the late 1990s to the early 21st century, since 2005, circular economy has been promoted widespread, and by 2009, 10 iron/ steel enterprises had become the national circular economy pilots. ","Wang, Lassoie, Dong, & Morreale",2013,"as to china, industrial symbiosis is implemented under the philosophy of circular economy  . circular economy focuses on cleaner production  in enterprise level, industrial substance reuse and recycling in regional level or industrial park level, and creating a recycling oriented society in national level . iron/steel industry is a key field of circular economy practice, after the cleaner technologies upgrading from the late 1990s to the early 21st century, since 2005, circular economy has been promoted widespread, and by 2009, 10 iron/ steel enterprises had become the national circular economy pilots. "
91,"Industrial Ecology, 3R’s principles (Reduce, Reuse, Recycle) or Sustainable Design are concepts that should lead to this idea of a “circular or closed loop economy”. It means that production or resource companies should be collaborating together to exchange materials, waste, energy and water so that new products can be designed out of waste. A closed looped economy is defined material by material and process industry by process industry and this controls the extent to which this ideal organization can be achieved and when: practically, for a highly recyclable material like steel, a closed loop economy can be approached only when the production of steel peaks so that the amount of end of life material and the level of demand become close enough. ",Thomas & Birat,2013,"industrial ecology, 3rs principles  or sustainable design are concepts that should lead to this idea of a circular or closed loop economy. it means that production or resource companies should be collaborating together to exchange materials, waste, energy and water so that new products can be designed out of waste. a closed looped economy is defined material by material and process industry by process industry and this controls the extent to which this ideal organization can be achieved and when: practically, for a highly recyclable material like steel, a closed loop economy can be approached only when the production of steel peaks so that the amount of end of life material and the level of demand become close enough. "
24,"A circular economy is an economic system that takes the reusability of products and materials and the conservation of natural resources as starting point. It also strives for value creation for people, nature and the economy in each part of the system",Dutch House of Representatives,2013,"a circular economy is an economic system that takes the reusability of products and materials and the conservation of natural resources as starting point. it also strives for value creation for people, nature and the economy in each part of the system"
25,"A circular economy is restorative and regenerative by design, and aims to keep products, components, and materials at their highest utility and value at all times. The concept distinguishes between technical and biological cycles. As envisioned by the originators, a circular economy is a continuous positive development cycle that preserves and enhances natural capital, optimises resource yields, and minimises system risks by managing finite stocks and renewable flows. It works effectively at every scale.",Ellen MacArthur Foundation,2013,"a circular economy is restorative and regenerative by design, and aims to keep products, components, and materials at their highest utility and value at all times. the concept distinguishes between technical and biological cycles. as envisioned by the originators, a circular economy is a continuous positive development cycle that preserves and enhances natural capital, optimises resource yields, and minimises system risks by managing finite stocks and renewable flows. it works effectively at every scale."
49,"As described by Jones et al. (2011), in a circular economy material loops need to be closed by direct recycling of pre-consumer manufacturing scrap/residues (e.g. steel slags), urban mining of post-consumer End-of-Life products (e.g. recovery rare earth metals from electronic waste), and land mining of historic (and future) urban waste streams (Fig. 1). In all three cases the need for energy and carbon intensive mining of primary materials can be reduced (Ayres, 1997).",Jones et al.,2013,"as described by jones et al. , in a circular economy material loops need to be closed by direct recycling of pre consumer manufacturing scrap/residues , urban mining of post consumer end of life products , and land mining of historic  urban waste streams . in all three cases the need for energy and carbon intensive mining of primary materials can be reduced ."
93,"A circular economy is an economic and industrial system based on the reuse of products and raw materials, and the restorative capacity of natural resources. It attempts to minimize value destruction in the overall system and to maximize value creation in each link in the system",TNO,2013,"a circular economy is an economic and industrial system based on the reuse of products and raw materials, and the restorative capacity of natural resources. it attempts to minimize value destruction in the overall system and to maximize value creation in each link in the system"
37,"CE is based on the ‘win-win’ philosophy that a healthy economy and environmental health can co-exist (Geng and Doberstein, 2008; Park et al., 2010). It incorporates myriad strategies to achieve greater efficiency through economies of systems integration. The EID foundation of CE encourages economic activities to mimic the natural ecosystem metaphor, such as a closed loop of material flow within the broader economic system (Geng and Doberstein, 2008). ","Geng, Sarkis, Ulgiati, & Zhang",2013,"ce is based on the win win philosophy that a healthy economy and environmental health can co exist . it incorporates myriad strategies to achieve greater efficiency through economies of systems integration. the eid foundation of circular economy encourages economic activities to mimic the natural ecosystem metaphor, such as a closed loop of material flow within the broader economic system . "
47,"The circular economy is a generic term materializing an economic concept that fits in the context of sustainable development and based on the concepts of green economy, usage (functionality) economy and industrial ecology. In that way, the conventional entire life cycle artefact phases (Beginning-of-Live BOL, Middle-of-Life MOL, End-of-Life EOL) has to be reconsidered for replacing the EOL with restoration, shift towards the use of renewable energy, eliminates the use of toxic chemicals (return to the bio-sphere), and aims for the elimination of waste. In that way, the maximum value could be extracted from restoration and recycling (less energy and cost efficient than producing everything from scratch reused multiple times) [13]. Thus, circular economy implies an extended vision for sustainable manufacturing assuming that sustainability is achieved thanks to the cyclical nature of eco-systems. It leads to rethink how the industrial systems must be designed in order to establish not only interactions between these systems but also with the natural environment (Figure 2). It has to be seen as a concretization of industrial symbiosis (e.g. the symbiosis of Kalundborg [14]). This symbiosis is an illustration of the way from a linear to a circular economy.",Iung & Levrat,2014,"the circular economy is a generic term materializing an economic concept that fits in the context of sustainable development and based on the concepts of green economy, usage  economy and industrial ecology. in that way, the conventional entire life cycle artefact phases  has to be reconsidered for replacing the eol with restoration, shift towards the use of renewable energy, eliminates the use of toxic chemicals , and aims for the elimination of waste. in that way, the maximum value could be extracted from restoration and recycling  13. thus, circular economy implies an extended vision for sustainable manufacturing assuming that sustainability is achieved thanks to the cyclical nature of eco systems. it leads to rethink how the industrial systems must be designed in order to establish not only interactions between these systems but also with the natural environment . it has to be seen as a concretization of industrial symbiosis . this symbiosis is an illustration of the way from a linear to a circular economy."
86,"If we define a circular economy as all economic activities to extend the service-life of goods, components and materials, through reuse and re-marketing, repair, re-manufacturing and technological updating of goods, it has always existed: reusable bottles, second-hand markets, repair and renovation of buildings and infrastructure. Among corporations, the repair and serial re-manufacturing of combustion engines and automotive components, of machine tools and jet turbines, railway rolling stock and aircraft has existed since the early days.",Stahel,2014,"if we define a circular economy as all economic activities to extend the service life of goods, components and materials, through reuse and re marketing, repair, re manufacturing and technological updating of goods, it has always existed: reusable bottles, second hand markets, repair and renovation of buildings and infrastructure. among corporations, the repair and serial re manufacturing of combustion engines and automotive components, of machine tools and jet turbines, railway rolling stock and aircraft has existed since the early days."
30,"Circular Economy: a development strategy that enables economic growth while optimising consumption of resources, deeply transforms production chains and consumption patterns, and redesigns industrial systems at the system level",European Commission,2014,"circular economy: a development strategy that enables economic growth while optimising consumption of resources, deeply transforms production chains and consumption patterns, and redesigns industrial systems at the system level"
75,"Circular economy definitions consider economic growth, promote renewable energy, the notion of ‘restoration’ and the ‘replenishing’ of resources. Importantly, the concept of closed loop can also be identified within circular economy definitions. This aligns with the Ecodesign Centre’s view of the circular economy as a broader agenda than that of closing the loop. ","Prendeville, Sanders, Sherry, & Costa",2014,"circular economy definitions consider economic growth, promote renewable energy, the notion of restoration and the replenishing of resources. importantly, the concept of closed loop can also be identified within circular economy definitions. this aligns with the ecodesign centres view of the circular economy as a broader agenda than that of closing the loop. "
4,"In 2006, the style of NDEIPs changed to a ‘circular’, integrated industry design. The Qingdao New World NDEIP is one of the leading examples. The Venous Industry EIPs are based on the concept of circular economy to recycling and reusing waste from existing industrial clusters like the veins in human body. Some industrial parks that were approved for NDEIP construction followed EIP guidance and had several key accomplishments related to NDEIP, including the low carbon development, material reduction and circulation, pollution control and environmental management.","Bai, Qiao, Yao, Guo, & Xie",2014,"in 2006, the style of ndeips changed to a circular, integrated industry design. the qingdao new world ndeip is one of the leading examples. the venous industry eips are based on the concept of circular economy to recycling and reusing waste from existing industrial clusters like the veins in human body. some industrial parks that were approved for ndeip construction followed eip guidance and had several key accomplishments related to ndeip, including the low carbon development, material reduction and circulation, pollution control and environmental management."
71,"Along with the notion of a closed-loop system, circular material economies, and sustainable materials management, the resource-based paradigm is based on the view that what we formerly perceived as wastes should instead be considered to be potential resources until determined otherwise. Table 1 summarizes the core idea of the resource-based paradigm as differentiated from the waste-based one.",Park & Chertow,2014,"along with the notion of a closed loop system, circular material economies, and sustainable materials management, the resource based paradigm is based on the view that what we formerly perceived as wastes should instead be considered to be potential resources until determined otherwise. table 1 summarizes the core idea of the resource based paradigm as differentiated from the waste based one."
48,"In 2009, the Circular Economy Promotion Law was put into effect. In the Law, CE was defined as a holistic concept covering the activities of ‘reduce, reuse, and recycle’ in the process of production, circulation, and consumption.",Jiao & Boons,2014,"in 2009, the circular economy promotion law was put into effect. in the law, circular economy was defined as a holistic concept covering the activities of reduce, reuse, and recycle in the process of production, circulation, and consumption."
18,"If we consider, for instance, the Chinese Circular Economy (CE), which was introduced in 1998 as a new sustainable development strategy, which integrates cleaner production and industrial ecology in a broader system encompassing industrial firms, many more planning strategies could be identified in the EIP implementations, such as, for instance, site development preserving local natural features, recruitment of companies committed to high resource efficiency and low pollution, management to support the financial, environmental and social success of EIP companies and a strong linkage to surrounding communities through economic development, social and environmental programs.",Conticelli & Tondelli,2014,"if we consider, for instance, the chinese circular economy , which was introduced in 1998 as a new sustainable development strategy, which integrates cleaner production and industrial ecology in a broader system encompassing industrial firms, many more planning strategies could be identified in the eip implementations, such as, for instance, site development preserving local natural features, recruitment of companies committed to high resource efficiency and low pollution, management to support the financial, environmental and social success of eip companies and a strong linkage to surrounding communities through economic development, social and environmental programs."
64,"Circular Economy may be seen as a system for production and consumption, which aims at balancing economic growth and development with environmental and resource protection, and has also been explained as a strategy for ‘decoupling economic growth from resource consumption’, and hence secure continued economic growth without destroying the environment (Zhu 2008). The concept is inspired by industrial ecology and practical efforts of resource recovery through recycling and reuse of materials in industrial production. But the concept is also linked to the wider social and economic system by including household and other consumption refuse items in the total recycling system at a local, regional, and finally at a national, levels. ",Naustdalslid,2014,"circular economy may be seen as a system for production and consumption, which aims at balancing economic growth and development with environmental and resource protection, and has also been explained as a strategy for decoupling economic growth from resource consumption, and hence secure continued economic growth without destroying the environment . the concept is inspired by industrial ecology and practical efforts of resource recovery through recycling and reuse of materials in industrial production. but the concept is also linked to the wider social and economic system by including household and other consumption refuse items in the total recycling system at a local, regional, and finally at a national, levels. "
103,"This paper puts forward an ideology of the recycling of retired or scrap weaponry and equipment based on 3R, by introducing 3R principle which is the core ideology of circular economy.","Xin, Han, & Hu",2014,"this paper puts forward an ideology of the recycling of retired or scrap weaponry and equipment based on 3r, by introducing 3r principle which is the core ideology of circular economy."
70,"A circular economy is an industrial economy, which has resilience as intention and replaces usage by using. The circular economy is based on closing loops and (where possible, infinitely) extending cycles",OPAi & MVO Nederland,2014,"a circular economy is an industrial economy, which has resilience as intention and replaces usage by using. the circular economy is based on closing loops and  extending cycles"
26,"A circular economy is an industrial system that is restorative or regenerative by intention and design. It replaces the end-of-life concept with restoration, shifts towards the use of renewable energy, eliminates the use of toxic chemicals, which impair reuse and return to the biosphere, and aims for the elimination of waste through the superior design of materials, products, systems and business models. Such an economy is based on a few simple principles, as shown in Figure 2. First, at its core, a circular economy aims to design out waste. Waste does not exist: products are designed and optimized for a cycle of disassembly and reuse. These tight component and product cycles define the circular economy and set it apart from disposal and even recycling, where large amounts of embedded energy and labour are lost. Second, circularity introduces a strict differentiation between consumable and durable components of a product. ",Ellen MacArthur Foundation,2014,"a circular economy is an industrial system that is restorative or regenerative by intention and design. it replaces the end of life concept with restoration, shifts towards the use of renewable energy, eliminates the use of toxic chemicals, which impair reuse and return to the biosphere, and aims for the elimination of waste through the superior design of materials, products, systems and business models. such an economy is based on a few simple principles, as shown in figure 2. first, at its core, a circular economy aims to design out waste. waste does not exist: products are designed and optimized for a cycle of disassembly and reuse. these tight component and product cycles define the circular economy and set it apart from disposal and even recycling, where large amounts of embedded energy and labour are lost. second, circularity introduces a strict differentiation between consumable and durable components of a product. "
60,"Moreover, industrial ecology concepts such as cradle to cradle and circular economy have been considered leading principle for eco-innovation, aiming at “zero waste” society and economy where wastes are used as raw material for new products and applications. In fact, closed systems are the basis of so-called industrial symbiosis, in which the goal is to use wastes from one sector as an input for other sectors.","Mirabella, Castellani, & Sala",2014,"moreover, industrial ecology concepts such as cradle to cradle and circular economy have been considered leading principle for eco innovation, aiming at zero waste society and economy where wastes are used as raw material for new products and applications. in fact, closed systems are the basis of so called industrial symbiosis, in which the goal is to use wastes from one sector as an input for other sectors."
5,"According to Stahel (1998: p 29), the key to product life extension “lies in the transformation of the actual linear production focused industrial economy into a utilization-focused service economy operating in loops”. This is a concise summary of the concept of a circular economy that is at the basis of much current design thinking. McDonough and Braungart (2002, 2013) for instance talk about “waste equals food” and “nutrient management” in their cradle-to-cradle design methodology and the Ellen MacArthur Foundation (2013) argues for “circular products” that complement a circular economy. Stahel (1998) likens the linear economy to a river and the circular economy to a lake, creating a useful metaphor of flow and loss versus retainment and preservation of value. Stahel (1998) likens the linear economy to a river and the circular economy to a lake, creating a useful metaphor of flow and loss versus retainment and reservation of value. This circular thinking underpins the EU Waste Framework Directive (2008/98/EC), which presents a waste management hierarchy of prevention, reuse, recycling, other recovery (i.e. energy recovery) and disposal, with prevention and reuse the preferred waste management approaches.","Bakker, Wang, Huisman, & den Hollander",2014,"according to stahel , the key to product life extension lies in the transformation of the actual linear production focused industrial economy into a utilization focused service economy operating in loops. this is a concise summary of the concept of a circular economy that is at the basis of much current design thinking. mcdonough and braungart  for instance talk about waste equals food and nutrient management in their cradle to cradle design methodology and the ellen macarthur foundation  argues for circular products that complement a circular economy. stahel  likens the linear economy to a river and the circular economy to a lake, creating a useful metaphor of flow and loss versus retainment and preservation of value. stahel  likens the linear economy to a river and the circular economy to a lake, creating a useful metaphor of flow and loss versus retainment and reservation of value. this circular thinking underpins the eu waste framework directive , which presents a waste management hierarchy of prevention, reuse, recycling, other recovery  and disposal, with prevention and reuse the preferred waste management approaches."
54,"In a circular economy, the waste from factories would become a valuable input to another process—and rather than disposing of defunct products, they could be repaired, reused or upgraded (Preston, 2012).",Liu & Bai,2014,"in a circular economy, the waste from factories would become a valuable input to another process—and rather than disposing of defunct products, they could be repaired, reused or upgraded ."
9,"The rationale is that growth has been based in the past on wasting raw materials and resources (“the linear model"") and that a more resource-wary approach would benefit Europe by reducing the depletion of natural resources, whether they are rare or not, and the dependency of the Region on raw development of a circular economy, based on recycling, reuse, reduction – even elimination – of waste (all recyclable waste (plastics, metals, glass, paper, cardboard,  biodegradable waste) barred from landfilling by 2025 and all landfill stopped by 2030) and lean-eco design. This is similar to speaking of industrial and urban ecology, of urban metabolism and of exploiting urban or industrial mines.",Birat,2015,"the rationale is that growth has been based in the past on wasting raw materials and resources  and that a more resource wary approach would benefit europe by reducing the depletion of natural resources, whether they are rare or not, and the dependency of the region on raw development of a circular economy, based on recycling, reuse, reduction – even elimination – of waste  barred from landfilling by 2025 and all landfill stopped by 2030) and lean eco design. this is similar to speaking of industrial and urban ecology, of urban metabolism and of exploiting urban or industrial mines."
29,"The circular economy, as defined by the Ellen McArthur Foundation, refers to an industrial economy that is restorative by intention, aims to rely on renewable energy, minimises the use of toxic chemicals, and eradicates waste through careful design. The transition to a circular economy can be understood as the implementation of different business models and technologies in all sectors of production, marketing, consumption and waste management. Companies are the driving force in the shift towards the circular economy. However, governmental support is indispensable for an transition at larger scale.",EUKN,2015,"the circular economy, as defined by the ellen mcarthur foundation, refers to an industrial economy that is restorative by intention, aims to rely on renewable energy, minimises the use of toxic chemicals, and eradicates waste through careful design. the transition to a circular economy can be understood as the implementation of different business models and technologies in all sectors of production, marketing, consumption and waste management. companies are the driving force in the shift towards the circular economy. however, governmental support is indispensable for an transition at larger scale."
81,"Foundation, the international think tank that is commonly recognised as being an authoritative source for circular concepts (see ): “The circular economy is an economic and industrial system that is restorative and regenerative by design, and which aims to keep products, components and materials at their highest utility and value at all times, distinguishing between technical and biological cycles.” This definition indicates that material flows fulfil an important role in the body of thought concerning circular economy. But it is also about a new way of thinking about economic principles including ‘value’ and about business models that give shape to the desired value creation.","Schut, Crielaard, & Mesman",2015,"foundation, the international think tank that is commonly recognised as being an authoritative source for circular concepts : the circular economy is an economic and industrial system that is restorative and regenerative by design, and which aims to keep products, components and materials at their highest utility and value at all times, distinguishing between technical and biological cycles. this definition indicates that material flows fulfil an important role in the body of thought concerning circular economy. but it is also about a new way of thinking about economic principles including value and about business models that give shape to the desired value creation."
82,"In Europe, a new zero-waste program introduces new recycling targets and envisions a circular economy where products and materials serve multiple lifecycles in various formats, and where economic growth is decoupled from the environmental degradation.",Sihvonen & Ritola,2015,"in europe, a new zero waste program introduces new recycling targets and envisions a circular economy where products and materials serve multiple lifecycles in various formats, and where economic growth is decoupled from the environmental degradation."
23,"The concept of the circular economy is about decoupling growth from resource consumption and maximizing the positive environmental, economic and social effects. It’s about designing products so that they are easier to reuse or recycle and making sure that every product ingredient is biodegradable or fully recyclable. In short, it’s a concept that is perfectly aligned with the development of the bioeconomy and the transition towards biobased rather than fossil based products.",Dupont-Inglis,2015,"the concept of the circular economy is about decoupling growth from resource consumption and maximizing the positive environmental, economic and social effects. its about designing products so that they are easier to reuse or recycle and making sure that every product ingredient is biodegradable or fully recyclable. in short, its a concept that is perfectly aligned with the development of the bioeconomy and the transition towards biobased rather than fossil based products."
84,"In a zero waste system, material flow is circular, which means the same materials are used again and again until the optimum level of consumption. No materials are wasted or underused in circular [economy] system (Murphy and Pincetl, 2013; Mason et al., 2003; Colon and Fawcett, 2006). Therefore, at the end of their lives products are reused, repaired, sold or redistributed within the system. If reuse or repairs are not possible, they can be recycled or recovered from the waste stream and used as inputs, substituting the demand for the extraction of natural resources. ","Song, Li, & Zeng",2015,"in a zero waste system, material flow is circular, which means the same materials are used again and again until the optimum level of consumption. no materials are wasted or underused in circular economy system . therefore, at the end of their lives products are reused, repaired, sold or redistributed within the system. if reuse or repairs are not possible, they can be recycled or recovered from the waste stream and used as inputs, substituting the demand for the extraction of natural resources. "
27,"For the purpose of this economic analysis, the circular economy is defined as an economy that provides multiple value-creation mechanisms which are decoupled from the consumption of finite resources (Figure 8). This definition rests on three principles:  Preserve and enhance natural capital by controlling finite stocks and balancing renewable resource flows – for example, replacing fossil fuels with renewable energy or returning nutrients to ecosystems.  Optimise resource yields by circulating products, components, and materials in use at the highest utility at all times in both technical and biological cycles – for example, sharing or looping products and extending product lifetimes. Foster system effectiveness by revealing and designing out negative externalities, such as water, air, soil, and noise pollution; climate change; toxins; congestion; and negative health effects related to resource use. Narrower notions of the circular economy, limited to material reuse and sometimes regeneration, exist. But the modern economy requires applying all three principles to reintegrate the economy into our planet’s system, which is the ultimate ambition of circular thinking. Thus, applying these principles means creating an economy that is restorative and regenerative, that preserves ecosystems and increases their return over time, that creates prosperity, and that fuels growth by capturing more value from existing infrastructure and products.",Ellen MacArthur Foundation,2015,"for the purpose of this economic analysis, the circular economy is defined as an economy that provides multiple value creation mechanisms which are decoupled from the consumption of finite resources . this definition rests on three principles:  preserve and enhance natural capital by controlling finite stocks and balancing renewable resource flows – for example, replacing fossil fuels with renewable energy or returning nutrients to ecosystems.  optimise resource yields by circulating products, components, and materials in use at the highest utility at all times in both technical and biological cycles – for example, sharing or looping products and extending product lifetimes. foster system effectiveness by revealing and designing out negative externalities, such as water, air, soil, and noise pollution; climate change; toxins; congestion; and negative health effects related to resource use. narrower notions of the circular economy, limited to material reuse and sometimes regeneration, exist. but the modern economy requires applying all three principles to reintegrate the economy into our planets system, which is the ultimate ambition of circular thinking. thus, applying these principles means creating an economy that is restorative and regenerative, that preserves ecosystems and increases their return over time, that creates prosperity, and that fuels growth by capturing more value from existing infrastructure and products."
99,"In the face of limited resources and high energy consumption, China implemented a new national strategy for CE in 2005, which aimed to obtain high resources and energy efficiency by means of “reduce, reuse and recycle” (Yuan et al., 2006; Zhang et al., 2008).",Wen & Meng,2015,"in the face of limited resources and high energy consumption, china implemented a new national strategy for circular economy in 2005, which aimed to obtain high resources and energy efficiency by means of reduce, reuse and recycle ."
58,"If European leaders decided to shift toward a more circular economy, managing the transition would have to be a top priority. A circular economy could greatly benefit the environment and boost competitiveness and resilience. A circular economy would decouple economic growth from resource use. Across the three study sectors, carbon emissions would drop as much as 48 percent by 2030 (31 percent on the current development path) and 83 percent by 2050 (61 percent on the current development path), compared with 2012 levels. Electric, shared, and autonomous vehicles, food-waste reduction, regenerative and healthy food chains, passive houses, urban planning, and renewable energy would be the principal sources of emission reduction across the three sectors.",McKinsey & Company,2015,"if european leaders decided to shift toward a more circular economy, managing the transition would have to be a top priority. a circular economy could greatly benefit the environment and boost competitiveness and resilience. a circular economy would decouple economic growth from resource use. across the three study sectors, carbon emissions would drop as much as 48 percent by 2030  and 83 percent by 2050 , compared with 2012 levels. electric, shared, and autonomous vehicles, food waste reduction, regenerative and healthy food chains, passive houses, urban planning, and renewable energy would be the principal sources of emission reduction across the three sectors."
31,"The transition to a more circular economy, where the value of products, materials and resources is maintained in the economy for as long as possible, and the generation of waste minimised, is an essential contribution to the EU's efforts to develop a sustainable, low carbon, resource efficient and competitive economy.",European Commission,2015,"the transition to a more circular economy, where the value of products, materials and resources is maintained in the economy for as long as possible, and the generation of waste minimised, is an essential contribution to the eu's efforts to develop a sustainable, low carbon, resource efficient and competitive economy."
96,"A main goal of industrial ecology is to change the current linear nature of our industrial systems and move to a circular economy system “where the wastes are reused as energy or raw materials for another product or process.” Within the broader field of industrial ecology, which examines the flow of physical resources through systems at different scales, the sub-field of industrial symbiosis (IS) focuses on these flows at the level of industrial clusters and industrial parks.","Veleva, Todorova, Lowitt, Angus, & Neely",2015,"a main goal of industrial ecology is to change the current linear nature of our industrial systems and move to a circular economy system where the wastes are reused as energy or raw materials for another product or process. within the broader field of industrial ecology, which examines the flow of physical resources through systems at different scales, the sub field of industrial symbiosis  focuses on these flows at the level of industrial clusters and industrial parks."
14,"Increasingly, reuse also represents a relevant new niche of business beyond “charity and thrift shops” and a fundamental element of the circular economy. For example, Gelbmann and Hammerl (2014) described an innovative business model based on reuse, considering that ecologically oriented work integration social enterprises focusing on reuse may constitute a novel kind of Sustainable Product–Service System (SPSS). This may also involve international trade (Brooks 2013).","Castellani, Sala, & Mirabella",2015,"increasingly, reuse also represents a relevant new niche of business beyond charity and thrift shops and a fundamental element of the circular economy. for example, gelbmann and hammerl  described an innovative business model based on reuse, considering that ecologically oriented work integration social enterprises focusing on reuse may constitute a novel kind of sustainable product–service system . this may also involve international trade ."
52,"In line with eco-industrial development CE is understood as “realization of closed loop material flow in the whole economic system” (Geng and Doberstein, 2008). In association with the so called 3R principles (reduction, reuse and recycling) “the core of CE is the circular (closed) flow of materials and the use of raw materials and energy through multiple phases” (Yuan et al., 2006). Taking into account economic aspects CE can also be defined as “an economy based on a spiral-loop system” that minimizes matter, energy-flow and environmental deterioration without restricting economic growth or social and technical progress” (Stahel, 1982). For this paper, the relevant CE definition is the one of “an industrial economy that is restorative or regenerative by intention and design” (Ellen Macarthur Foundation, 2013). This definition is more comprehensive as it considers both the environmental and economic advantages simultaneously under the notion of regenerative performance requiring high quality circulation of technical nutrients while ensuring safe entry of bio nutrients in the biological sphere. ",Lieder & Rashid,2016,"in line with eco industrial development circular economy is understood as realization of closed loop material flow in the whole economic system . in association with the so called 3r principles  the core of circular economy is the circular  flow of materials and the use of raw materials and energy through multiple phases . taking into account economic aspects circular economy can also be defined as an economy based on a spiral loop system that minimizes matter, energy flow and environmental deterioration without restricting economic growth or social and technical progress . for this paper, the relevant circular economy definition is the one of an industrial economy that is restorative or regenerative by intention and design . this definition is more comprehensive as it considers both the environmental and economic advantages simultaneously under the notion of regenerative performance requiring high quality circulation of technical nutrients while ensuring safe entry of bio nutrients in the biological sphere. "
87,"In less-developed countries, the circular economy of reusing goods and recycling materials is commonplace. The Loop Economy starts at the end of a goods' utilisation. The objective of the Loop (or circular) Economy is to bring goods and molecules back into new use in a grave-to-craddle approach. This reduces both 'end of pipe' waste volumes (after utilisation) and the demand for virgin resources at the 'beginning of pipe' (base material production). ",Stahel,2016,"in less developed countries, the circular economy of reusing goods and recycling materials is commonplace. the loop economy starts at the end of a goods' utilisation. the objective of the loop  economy is to bring goods and molecules back into new use in a grave to craddle approach. this reduces both 'end of pipe' waste volumes  and the demand for virgin resources at the 'beginning of pipe' . "
88,"The circular economy is based on value preservation, not value added. The basic elements are shown schematically in Fig. 7.1. The Reuse Loop includes secondhand markets (from garage sales and flea markets to eBay) as well as commercial and private reuse of goods (e.g. refilling of beverage containers, reuse and resale of garments). These activities are usually carried out locally. Loop 1, labelled Remanufacturing, includes repair, remanufacturing and “upgrading” to meet new technological standards or to meet new fashion expectations (Smith and Keoleian 2004). Remanufacturing may be a local activity (e.g. refurbishing of domestic appliances or cars) or may be carried out via regional service centres. Loop 2 represents recycling in which, rather than repairing or re-using manufactured goods and components, the product is reprocessed to recover secondary materials for return to the same use. Reprocessing may be a regional activity or may be part of a global supply system. Reprocessing includes operations such as recycling of paper and plastics, re-refining of fluids such as lubrication oils (Clift 2001) and, where practical, depolymerisation of polymers (Clift 1997). Some end-of-life goods and materials may go to other uses, such as export for re-use in other locations or “cascading” into lower specification applications (downcycling) including energy recovery, or may leak from the economic system as waste",Stahel & Clift,2016,"the circular economy is based on value preservation, not value added. the basic elements are shown schematically in fig. 7.1. the reuse loop includes secondhand markets  as well as commercial and private reuse of goods . these activities are usually carried out locally. loop 1, labelled remanufacturing, includes repair, remanufacturing and upgrading to meet new technological standards or to meet new fashion expectations . remanufacturing may be a local activity  or may be carried out via regional service centres. loop 2 represents recycling in which, rather than repairing or re using manufactured goods and components, the product is reprocessed to recover secondary materials for return to the same use. reprocessing may be a regional activity or may be part of a global supply system. reprocessing includes operations such as recycling of paper and plastics, re refining of fluids such as lubrication oils  and, where practical, depolymerisation of polymers . some end of life goods and materials may go to other uses, such as export for re use in other locations or cascading into lower specification applications  including energy recovery, or may leak from the economic system as waste"
40,"Circular economy mainly emerges in the literature through three main “actions”, i.e. the so called 3R's Principles: Reduction, Reuse and Recycle. The Chinese CE promotion Laws define CE “a generic term for the reducing, reusing and recycling activities conducted in the process of production, circulation and consumption”.","Ghisellini, Cialani, & Ulgiati",2016,"circular economy mainly emerges in the literature through three main actions, i.e. the so called 3r's principles: reduction, reuse and recycle. the chinese circular economy promotion laws define circular economy a generic term for the reducing, reusing and recycling activities conducted in the process of production, circulation and consumption."
